cfg,phi,interesting,reason_skipped,K,n_executions,avg_behavior_size,support_min,support_mean,support_max,reduction_from_bottom,compression_from_bottom
"(0, 0, 0, 0, 0, 0, 0, 0, 0)",creditnote: ρ = id  │  customer: ρ = id  │  dispute: ρ = id  │  invoice: ρ = id  │  order: ρ = id  │  payment: ρ = id  │  product: ρ = id  │  return: ρ = id  │  shipment: ρ = id,False,no merging (K = n_executions),2000,2000,269.5165,1,1.0,1,0.0,0.0
"(3, 3, 1, 4, 2, 3, 4, 2, 2)",creditnote: ρ = type  │  customer: ρ = type  │  dispute: ρ = type  │  invoice: ρ = type  │  order: ρ = type  │  payment: ρ = type  │  product: ρ = type  │  return: ρ = type  │  shipment: ρ = type,True,,1903,2000,180.6585,1,1.0509721492380453,18,0.04849999999999999,0.3296941003612024
