dataset,cfg,phi,interesting,reason_skipped,K,n_executions,K_ratio,cfg_height,cfg_height_norm,avg_behavior_size,support_min,support_mean,support_max,reduction_from_bottom,compression_from_bottom,behavior_time_s,mining_time_s,miner,n_graphs,avg_mining_graph_size,total_mining_graph_size,min_support_effective,n_patterns_raw,n_patterns_in_window,pattern_support_min,pattern_support_mean,pattern_support_median,pattern_support_max,pattern_support_ratio_mean,pattern_support_ratio_median,pattern_support_ratio_max,high_support_threshold_ratio,high_support_threshold_abs,n_high_support_patterns,high_support_pattern_ratio
transfer_order_filtered,"(1, 1)",matnr: ρ = type  │  nlqnr: ρ = type,True,,61,147,0.41496598639455784,2,1.0,207.49659863945578,1,2.4098360655737703,31,0.5850340136054422,0.0,0.5345775840000044,9.369965750000006,gspan,147,205.97278911564626,30278,21,55,55,21,50.78181818181818,41,131,0.34545454545454546,0.2789115646258503,0.891156462585034,0.25,36,33,0.6
transfer_order_filtered,"(0, 1)",matnr: ρ = id  │  nlqnr: ρ = type,False,no merging (K = n_executions),147,147,1.0,1,0.5,207.49659863945578,1,1.0,1,0.0,0.0,0.11675795799999378,,,0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.25,0,0,0.0
transfer_order_filtered,"(1, 0)",matnr: ρ = type  │  nlqnr: ρ = id,False,no merging (K = n_executions),147,147,1.0,1,0.5,207.49659863945578,1,1.0,1,0.0,0.0,0.11098358299999234,,,0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.25,0,0,0.0
transfer_order_filtered,"(0, 0)",matnr: ρ = id  │  nlqnr: ρ = id,False,no merging (K = n_executions),147,147,1.0,0,0.0,207.49659863945578,1,1.0,1,0.0,0.0,0.08937445800000887,0.4184104169999898,gspan,147,205.97278911564626,30278,21,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.25,36,0,0.0
