cfg,phi,interesting,reason_skipped,K,n_executions,avg_behavior_size,support_min,support_mean,support_max,reduction_from_bottom,compression_from_bottom
"(2, 1, 7, 3, 3, 2, 2)",goods_receipt: ρ = type  │  invoice_receipt: ρ = CreditAmountBSEGWRBTR  │  material: ρ = QuantityEKPOMENGE_band  │  payment: ρ = PaymentMethodZLSCH  │  purchase_order: ρ = type  │  purchase_requisition: ρ = type  │  quotation: ρ = VendorEBANLIFNR,True,,926,927,43.80474649406688,1,1.0010799136069115,2,0.0010787486515642097,0.022554400154053522
"(2, 1, 7, 4, 1, 1, 1)",goods_receipt: ρ = type  │  invoice_receipt: ρ = CreditAmountBSEGWRBTR  │  material: ρ = QuantityEKPOMENGE_band  │  payment: ρ = type  │  purchase_order: ρ = PurchasingGroupEKKOEKGRP  │  purchase_requisition: ρ = PurchasingGroupEBANEKGRP  │  quotation: ρ = PurchasingGroupEBANEKGRP,True,,919,927,42.98166127292341,1,1.0087051142546246,2,0.008629989212513456,0.04092046986327735
"(2, 1, 7, 4, 2, 1, 3)",goods_receipt: ρ = type  │  invoice_receipt: ρ = CreditAmountBSEGWRBTR  │  material: ρ = QuantityEKPOMENGE_band  │  payment: ρ = type  │  purchase_order: ρ = VendorEKKOLIFNR  │  purchase_requisition: ρ = PurchasingGroupEBANEKGRP  │  quotation: ρ = type,True,,926,927,43.80474649406688,1,1.0010799136069115,2,0.0010787486515642097,0.022554400154053522
"(2, 1, 7, 4, 1, 2, 2)",goods_receipt: ρ = type  │  invoice_receipt: ρ = CreditAmountBSEGWRBTR  │  material: ρ = QuantityEKPOMENGE_band  │  payment: ρ = type  │  purchase_order: ρ = PurchasingGroupEKKOEKGRP  │  purchase_requisition: ρ = type  │  quotation: ρ = VendorEBANLIFNR,True,,926,927,43.80474649406688,1,1.0010799136069115,2,0.0010787486515642097,0.022554400154053522
"(2, 1, 7, 4, 2, 2, 1)",goods_receipt: ρ = type  │  invoice_receipt: ρ = CreditAmountBSEGWRBTR  │  material: ρ = QuantityEKPOMENGE_band  │  payment: ρ = type  │  purchase_order: ρ = VendorEKKOLIFNR  │  purchase_requisition: ρ = type  │  quotation: ρ = PurchasingGroupEBANEKGRP,True,,926,927,43.80474649406688,1,1.0010799136069115,2,0.0010787486515642097,0.022554400154053522
"(2, 1, 7, 4, 3, 1, 2)",goods_receipt: ρ = type  │  invoice_receipt: ρ = CreditAmountBSEGWRBTR  │  material: ρ = QuantityEKPOMENGE_band  │  payment: ρ = type  │  purchase_order: ρ = type  │  purchase_requisition: ρ = PurchasingGroupEBANEKGRP  │  quotation: ρ = VendorEBANLIFNR,True,,926,927,43.80474649406688,1,1.0010799136069115,2,0.0010787486515642097,0.022554400154053522
"(2, 1, 8, 1, 1, 2, 3)",goods_receipt: ρ = type  │  invoice_receipt: ρ = CreditAmountBSEGWRBTR  │  material: ρ = StorageLocationEKPOLGORT  │  payment: ρ = AmountDMBTR  │  purchase_order: ρ = PurchasingGroupEKKOEKGRP  │  purchase_requisition: ρ = type  │  quotation: ρ = type,True,,926,927,43.75512405609493,1,1.0010799136069115,2,0.0010787486515642097,0.023661659926824563
"(2, 1, 8, 1, 3, 1, 3)",goods_receipt: ρ = type  │  invoice_receipt: ρ = CreditAmountBSEGWRBTR  │  material: ρ = StorageLocationEKPOLGORT  │  payment: ρ = AmountDMBTR  │  purchase_order: ρ = type  │  purchase_requisition: ρ = PurchasingGroupEBANEKGRP  │  quotation: ρ = type,True,,926,927,43.75512405609493,1,1.0010799136069115,2,0.0010787486515642097,0.023661659926824563
"(2, 1, 8, 1, 3, 2, 1)",goods_receipt: ρ = type  │  invoice_receipt: ρ = CreditAmountBSEGWRBTR  │  material: ρ = StorageLocationEKPOLGORT  │  payment: ρ = AmountDMBTR  │  purchase_order: ρ = type  │  purchase_requisition: ρ = type  │  quotation: ρ = PurchasingGroupEBANEKGRP,True,,926,927,43.75512405609493,1,1.0010799136069115,2,0.0010787486515642097,0.023661659926824563
"(2, 1, 8, 2, 1, 1, 3)",goods_receipt: ρ = type  │  invoice_receipt: ρ = CreditAmountBSEGWRBTR  │  material: ρ = StorageLocationEKPOLGORT  │  payment: ρ = AmountDMBTR_band  │  purchase_order: ρ = PurchasingGroupEKKOEKGRP  │  purchase_requisition: ρ = PurchasingGroupEBANEKGRP  │  quotation: ρ = type,True,,926,927,44.01294498381877,1,1.0010799136069115,2,0.0010787486515642097,0.01790872328134019
"(2, 1, 8, 2, 1, 2, 1)",goods_receipt: ρ = type  │  invoice_receipt: ρ = CreditAmountBSEGWRBTR  │  material: ρ = StorageLocationEKPOLGORT  │  payment: ρ = AmountDMBTR_band  │  purchase_order: ρ = PurchasingGroupEKKOEKGRP  │  purchase_requisition: ρ = type  │  quotation: ρ = PurchasingGroupEBANEKGRP,True,,926,927,43.1898597626753,1,1.0010799136069115,2,0.0010787486515642097,0.03627479299056413
"(2, 1, 8, 2, 3, 1, 1)",goods_receipt: ρ = type  │  invoice_receipt: ρ = CreditAmountBSEGWRBTR  │  material: ρ = StorageLocationEKPOLGORT  │  payment: ρ = AmountDMBTR_band  │  purchase_order: ρ = type  │  purchase_requisition: ρ = PurchasingGroupEBANEKGRP  │  quotation: ρ = PurchasingGroupEBANEKGRP,True,,926,927,44.01294498381877,1,1.0010799136069115,2,0.0010787486515642097,0.01790872328134019
"(2, 1, 8, 4, 1, 1, 1)",goods_receipt: ρ = type  │  invoice_receipt: ρ = CreditAmountBSEGWRBTR  │  material: ρ = StorageLocationEKPOLGORT  │  payment: ρ = type  │  purchase_order: ρ = PurchasingGroupEKKOEKGRP  │  purchase_requisition: ρ = PurchasingGroupEBANEKGRP  │  quotation: ρ = PurchasingGroupEBANEKGRP,True,,926,927,43.1898597626753,1,1.0010799136069115,2,0.0010787486515642097,0.03627479299056413
"(2, 1, 9, 1, 1, 1, 3)",goods_receipt: ρ = type  │  invoice_receipt: ρ = CreditAmountBSEGWRBTR  │  material: ρ = type  │  payment: ρ = AmountDMBTR  │  purchase_order: ρ = PurchasingGroupEKKOEKGRP  │  purchase_requisition: ρ = PurchasingGroupEBANEKGRP  │  quotation: ρ = type,True,,918,927,42.93311758360302,1,1.0098039215686274,2,0.009708737864077666,0.04200365877142298
"(2, 1, 9, 1, 1, 2, 1)",goods_receipt: ρ = type  │  invoice_receipt: ρ = CreditAmountBSEGWRBTR  │  material: ρ = type  │  payment: ρ = AmountDMBTR  │  purchase_order: ρ = PurchasingGroupEKKOEKGRP  │  purchase_requisition: ρ = type  │  quotation: ρ = PurchasingGroupEBANEKGRP,True,,918,927,42.11003236245955,1,1.0098039215686274,2,0.009708737864077666,0.06036972848064692
"(2, 1, 9, 1, 2, 2, 3)",goods_receipt: ρ = type  │  invoice_receipt: ρ = CreditAmountBSEGWRBTR  │  material: ρ = type  │  payment: ρ = AmountDMBTR  │  purchase_order: ρ = VendorEKKOLIFNR  │  purchase_requisition: ρ = type  │  quotation: ρ = type,True,,926,927,42.93311758360302,1,1.0010799136069115,2,0.0010787486515642097,0.04200365877142298
"(2, 1, 9, 1, 3, 1, 1)",goods_receipt: ρ = type  │  invoice_receipt: ρ = CreditAmountBSEGWRBTR  │  material: ρ = type  │  payment: ρ = AmountDMBTR  │  purchase_order: ρ = type  │  purchase_requisition: ρ = PurchasingGroupEBANEKGRP  │  quotation: ρ = PurchasingGroupEBANEKGRP,True,,918,927,42.93311758360302,1,1.0098039215686274,2,0.009708737864077666,0.04200365877142298
"(2, 1, 9, 1, 3, 2, 2)",goods_receipt: ρ = type  │  invoice_receipt: ρ = CreditAmountBSEGWRBTR  │  material: ρ = type  │  payment: ρ = AmountDMBTR  │  purchase_order: ρ = type  │  purchase_requisition: ρ = type  │  quotation: ρ = VendorEBANLIFNR,True,,926,927,42.93311758360302,1,1.0010799136069115,2,0.0010787486515642097,0.04200365877142298
"(2, 1, 9, 2, 1, 1, 1)",goods_receipt: ρ = type  │  invoice_receipt: ρ = CreditAmountBSEGWRBTR  │  material: ρ = type  │  payment: ρ = AmountDMBTR_band  │  purchase_order: ρ = PurchasingGroupEKKOEKGRP  │  purchase_requisition: ρ = PurchasingGroupEBANEKGRP  │  quotation: ρ = PurchasingGroupEBANEKGRP,True,,918,927,42.36785329018339,1,1.0098039215686274,2,0.009708737864077666,0.05461679183516266
"(2, 1, 9, 2, 2, 1, 3)",goods_receipt: ρ = type  │  invoice_receipt: ρ = CreditAmountBSEGWRBTR  │  material: ρ = type  │  payment: ρ = AmountDMBTR_band  │  purchase_order: ρ = VendorEKKOLIFNR  │  purchase_requisition: ρ = PurchasingGroupEBANEKGRP  │  quotation: ρ = type,True,,926,927,43.19093851132686,1,1.0010799136069115,2,0.0010787486515642097,0.03625072212593872
"(2, 1, 9, 2, 1, 2, 2)",goods_receipt: ρ = type  │  invoice_receipt: ρ = CreditAmountBSEGWRBTR  │  material: ρ = type  │  payment: ρ = AmountDMBTR_band  │  purchase_order: ρ = PurchasingGroupEKKOEKGRP  │  purchase_requisition: ρ = type  │  quotation: ρ = VendorEBANLIFNR,True,,926,927,43.19093851132686,1,1.0010799136069115,2,0.0010787486515642097,0.03625072212593872
"(2, 1, 9, 2, 2, 2, 1)",goods_receipt: ρ = type  │  invoice_receipt: ρ = CreditAmountBSEGWRBTR  │  material: ρ = type  │  payment: ρ = AmountDMBTR_band  │  purchase_order: ρ = VendorEKKOLIFNR  │  purchase_requisition: ρ = type  │  quotation: ρ = PurchasingGroupEBANEKGRP,True,,926,927,43.19093851132686,1,1.0010799136069115,2,0.0010787486515642097,0.03625072212593872
"(2, 1, 9, 2, 3, 1, 2)",goods_receipt: ρ = type  │  invoice_receipt: ρ = CreditAmountBSEGWRBTR  │  material: ρ = type  │  payment: ρ = AmountDMBTR_band  │  purchase_order: ρ = type  │  purchase_requisition: ρ = PurchasingGroupEBANEKGRP  │  quotation: ρ = VendorEBANLIFNR,True,,926,927,43.19093851132686,1,1.0010799136069115,2,0.0010787486515642097,0.03625072212593872
"(2, 1, 9, 3, 1, 1, 1)",goods_receipt: ρ = type  │  invoice_receipt: ρ = CreditAmountBSEGWRBTR  │  material: ρ = type  │  payment: ρ = PaymentMethodZLSCH  │  purchase_order: ρ = PurchasingGroupEKKOEKGRP  │  purchase_requisition: ρ = PurchasingGroupEBANEKGRP  │  quotation: ρ = PurchasingGroupEBANEKGRP,True,,924,927,42.36785329018339,1,1.0032467532467533,2,0.003236245954692518,0.05461679183516266
"(2, 1, 9, 3, 2, 1, 3)",goods_receipt: ρ = type  │  invoice_receipt: ρ = CreditAmountBSEGWRBTR  │  material: ρ = type  │  payment: ρ = PaymentMethodZLSCH  │  purchase_order: ρ = VendorEKKOLIFNR  │  purchase_requisition: ρ = PurchasingGroupEBANEKGRP  │  quotation: ρ = type,True,,926,927,43.19093851132686,1,1.0010799136069115,2,0.0010787486515642097,0.03625072212593872
"(2, 1, 9, 3, 1, 2, 2)",goods_receipt: ρ = type  │  invoice_receipt: ρ = CreditAmountBSEGWRBTR  │  material: ρ = type  │  payment: ρ = PaymentMethodZLSCH  │  purchase_order: ρ = PurchasingGroupEKKOEKGRP  │  purchase_requisition: ρ = type  │  quotation: ρ = VendorEBANLIFNR,True,,926,927,43.19093851132686,1,1.0010799136069115,2,0.0010787486515642097,0.03625072212593872
"(2, 1, 9, 3, 2, 2, 1)",goods_receipt: ρ = type  │  invoice_receipt: ρ = CreditAmountBSEGWRBTR  │  material: ρ = type  │  payment: ρ = PaymentMethodZLSCH  │  purchase_order: ρ = VendorEKKOLIFNR  │  purchase_requisition: ρ = type  │  quotation: ρ = PurchasingGroupEBANEKGRP,True,,926,927,43.19093851132686,1,1.0010799136069115,2,0.0010787486515642097,0.03625072212593872
