dataset,cfg,phi,interesting,reason_skipped,K,n_executions,K_ratio,cfg_height,cfg_height_norm,avg_behavior_size,support_min,support_mean,support_max,reduction_from_bottom,compression_from_bottom,behavior_time_s,mining_time_s,miner,n_graphs,avg_mining_graph_size,total_mining_graph_size,min_support_effective,n_patterns_raw,n_patterns_in_window,pattern_support_min,pattern_support_mean,pattern_support_median,pattern_support_max,pattern_support_ratio_mean,pattern_support_ratio_median,pattern_support_ratio_max,high_support_threshold_ratio,high_support_threshold_abs,n_high_support_patterns,high_support_pattern_ratio
ocel2-p2p_filtered,"(2, 2, 8, 3, 3, 1, 3)",goods_receipt: ρ = type  │  invoice_receipt: ρ = CreditAmountBSEGWRBTR_band  │  material: ρ = StorageLocationEKPOLGORT  │  payment: ρ = PaymentMethodZLSCH  │  purchase_order: ρ = type  │  purchase_requisition: ρ = PurchasingGroupEBANEKGRP  │  quotation: ρ = type,True,,808,927,0.8716289104638619,14,0.7368421052631579,44.01294498381877,1,1.1472772277227723,6,0.12837108953613807,0.01790872328134019,0.09496166700000686,82.59543250000206,gspan,927,37.81877022653722,35058,48,295,295,48,125.26101694915255,88,579,0.1351251531274569,0.09492988133764833,0.6245954692556634,0.25,231,37,0.12542372881355932
ocel2-p2p_filtered,"(2, 2, 8, 3, 3, 2, 1)",goods_receipt: ρ = type  │  invoice_receipt: ρ = CreditAmountBSEGWRBTR_band  │  material: ρ = StorageLocationEKPOLGORT  │  payment: ρ = PaymentMethodZLSCH  │  purchase_order: ρ = type  │  purchase_requisition: ρ = type  │  quotation: ρ = PurchasingGroupEBANEKGRP,True,,808,927,0.8716289104638619,14,0.7368421052631579,44.01294498381877,1,1.1472772277227723,6,0.12837108953613807,0.01790872328134019,0.09561345900000617,82.56327325000166,gspan,927,37.81877022653722,35058,48,299,299,48,121.38127090301003,85,579,0.13093988231176917,0.09169363538295577,0.6245954692556634,0.25,231,35,0.11705685618729098
ocel2-p2p_filtered,"(2, 2, 8, 4, 1, 1, 3)",goods_receipt: ρ = type  │  invoice_receipt: ρ = CreditAmountBSEGWRBTR_band  │  material: ρ = StorageLocationEKPOLGORT  │  payment: ρ = type  │  purchase_order: ρ = PurchasingGroupEKKOEKGRP  │  purchase_requisition: ρ = PurchasingGroupEBANEKGRP  │  quotation: ρ = type,True,,741,927,0.7993527508090615,14,0.7368421052631579,44.01294498381877,1,1.2510121457489878,12,0.20064724919093846,0.01790872328134019,0.09560295800000063,27.507770416999847,gspan,927,37.81877022653722,35058,48,193,193,48,85.19170984455958,67,569,0.091900442119266,0.07227615965480043,0.6138079827400216,0.25,231,7,0.03626943005181347
ocel2-p2p_filtered,"(2, 2, 8, 4, 1, 2, 1)",goods_receipt: ρ = type  │  invoice_receipt: ρ = CreditAmountBSEGWRBTR_band  │  material: ρ = StorageLocationEKPOLGORT  │  payment: ρ = type  │  purchase_order: ρ = PurchasingGroupEKKOEKGRP  │  purchase_requisition: ρ = type  │  quotation: ρ = PurchasingGroupEBANEKGRP,True,,741,927,0.7993527508090615,14,0.7368421052631579,43.1898597626753,1,1.2510121457489878,12,0.20064724919093846,0.03627479299056413,0.09517595799999867,27.88922362499943,gspan,927,37.81877022653722,35058,48,213,213,48,83.2300469483568,65,569,0.08978430091516376,0.07011866235167206,0.6138079827400216,0.25,231,7,0.03286384976525822
ocel2-p2p_filtered,"(2, 2, 8, 4, 2, 2, 3)",goods_receipt: ρ = type  │  invoice_receipt: ρ = CreditAmountBSEGWRBTR_band  │  material: ρ = StorageLocationEKPOLGORT  │  payment: ρ = type  │  purchase_order: ρ = VendorEKKOLIFNR  │  purchase_requisition: ρ = type  │  quotation: ρ = type,True,,881,927,0.9503775620280475,14,0.7368421052631579,44.01294498381877,1,1.0522133938706015,3,0.04962243797195254,0.01790872328134019,0.09551650000000222,4.73000191599931,gspan,927,37.81877022653722,35058,48,30,30,50,159.26666666666668,117.0,569,0.17180870190578929,0.1262135922330097,0.6138079827400216,0.25,231,7,0.23333333333333334
ocel2-p2p_filtered,"(2, 2, 8, 4, 3, 1, 1)",goods_receipt: ρ = type  │  invoice_receipt: ρ = CreditAmountBSEGWRBTR_band  │  material: ρ = StorageLocationEKPOLGORT  │  payment: ρ = type  │  purchase_order: ρ = type  │  purchase_requisition: ρ = PurchasingGroupEBANEKGRP  │  quotation: ρ = PurchasingGroupEBANEKGRP,True,,741,927,0.7993527508090615,14,0.7368421052631579,44.01294498381877,1,1.2510121457489878,12,0.20064724919093846,0.01790872328134019,0.09448245900000529,103.81360049999785,gspan,927,37.81877022653722,35058,48,385,385,48,119.91688311688311,86,579,0.1293601759621177,0.09277238403451996,0.6245954692556634,0.25,231,43,0.11168831168831168
ocel2-p2p_filtered,"(2, 2, 8, 4, 3, 2, 2)",goods_receipt: ρ = type  │  invoice_receipt: ρ = CreditAmountBSEGWRBTR_band  │  material: ρ = StorageLocationEKPOLGORT  │  payment: ρ = type  │  purchase_order: ρ = type  │  purchase_requisition: ρ = type  │  quotation: ρ = VendorEBANLIFNR,True,,881,927,0.9503775620280475,14,0.7368421052631579,44.01294498381877,1,1.0522133938706015,3,0.04962243797195254,0.01790872328134019,0.09405883399999482,102.79252458300107,gspan,927,37.81877022653722,35058,48,375,375,48,121.01333333333334,88,579,0.13054297015462063,0.09492988133764833,0.6245954692556634,0.25,231,43,0.11466666666666667
ocel2-p2p_filtered,"(2, 2, 9, 1, 1, 2, 3)",goods_receipt: ρ = type  │  invoice_receipt: ρ = CreditAmountBSEGWRBTR_band  │  material: ρ = type  │  payment: ρ = AmountDMBTR  │  purchase_order: ρ = PurchasingGroupEKKOEKGRP  │  purchase_requisition: ρ = type  │  quotation: ρ = type,True,,918,927,0.9902912621359223,15,0.7894736842105263,43.19093851132686,1,1.0098039215686274,2,0.009708737864077666,0.03625072212593872,0.09414991699999575,22.451271207999525,gspan,927,37.81877022653722,35058,48,163,163,48,93.85276073619632,70,569,0.10124353908974791,0.07551240560949299,0.6138079827400216,0.25,231,8,0.049079754601226995
ocel2-p2p_filtered,"(2, 2, 9, 1, 3, 1, 3)",goods_receipt: ρ = type  │  invoice_receipt: ρ = CreditAmountBSEGWRBTR_band  │  material: ρ = type  │  payment: ρ = AmountDMBTR  │  purchase_order: ρ = type  │  purchase_requisition: ρ = PurchasingGroupEBANEKGRP  │  quotation: ρ = type,True,,918,927,0.9902912621359223,15,0.7894736842105263,43.19093851132686,1,1.0098039215686274,2,0.009708737864077666,0.03625072212593872,0.09443537500000332,49.34135929100012,gspan,927,37.81877022653722,35058,48,216,216,49,145.8101851851852,112.5,579,0.1572925406528427,0.12135922330097088,0.6245954692556634,0.25,231,37,0.1712962962962963
ocel2-p2p_filtered,"(2, 2, 9, 1, 3, 2, 1)",goods_receipt: ρ = type  │  invoice_receipt: ρ = CreditAmountBSEGWRBTR_band  │  material: ρ = type  │  payment: ρ = AmountDMBTR  │  purchase_order: ρ = type  │  purchase_requisition: ρ = type  │  quotation: ρ = PurchasingGroupEBANEKGRP,True,,918,927,0.9902912621359223,15,0.7894736842105263,43.19093851132686,1,1.0098039215686274,2,0.009708737864077666,0.03625072212593872,0.09437950000000228,49.32227066700216,gspan,927,37.81877022653722,35058,48,217,217,49,140.9447004608295,107,579,0.15204390556723785,0.11542610571736785,0.6245954692556634,0.25,231,35,0.16129032258064516
